component_id;price_version_id;component_name;component_type;amount_bdt;sort_order;created_at
d0e35e09-86b1-4d92-8f84-7e78667182ed;b4ccf3b8-e0e2-4945-8ac2-64fb25edb041;EXCISE DUTY;CUSTOM;100.00;2;2026-03-19 19:05:13.531001+00
b210f44b-de85-4dd9-abd6-0232d0d551cd;04a54842-3ff9-4ed8-aacc-6a5f8c268673;BASE;MANDATORY;2700.00;0;2026-03-19 19:06:10.321942+00
860a9619-b4fd-4138-bc60-347f68184c5a;04a54842-3ff9-4ed8-aacc-6a5f8c268673;VAT;MANDATORY;300.00;1;2026-03-19 19:06:10.321942+00
a6410d32-a814-4c17-9369-9d9eaeca2672;9315ea8f-318b-4912-b209-e12ba5394f81;BASE;MANDATORY;270.00;0;2026-03-19 19:09:01.270438+00
dc7dd722-9bc0-4128-9904-ba526c7de4ac;9315ea8f-318b-4912-b209-e12ba5394f81;VAT;MANDATORY;30.00;1;2026-03-19 19:09:01.270438+00
c94cbdc6-602d-47cf-86f6-4c8d326a9c24;f442e423-a834-4327-a85c-dae187b4969a;BASE;MANDATORY;1100.00;0;2026-03-24 09:30:48.651151+00
881897ce-6988-498e-b98d-08682dab6c9d;f442e423-a834-4327-a85c-dae187b4969a;VAT;MANDATORY;300.00;1;2026-03-24 09:30:48.651151+00
36db8068-baaa-4525-a43b-08d9886e877b;f442e423-a834-4327-a85c-dae187b4969a;SD;MANDATORY;100.00;2;2026-03-24 09:30:48.651151+00
b730057c-8155-446b-bfb5-a71a05e9f6d0;1908a2f2-4694-4abc-bff0-7b09aa51f256;BASE;MANDATORY;1000.00;0;2026-03-24 09:32:22.314697+00
69334099-f2e5-4e3b-9d53-de7a97001d4f;1908a2f2-4694-4abc-bff0-7b09aa51f256;VAT;MANDATORY;300.00;1;2026-03-24 09:32:22.314697+00
3a73deb1-f63d-4e19-b9bc-7e67dccc17e4;1908a2f2-4694-4abc-bff0-7b09aa51f256;SD;MANDATORY;100.00;2;2026-03-24 09:32:22.314697+00
3f66e573-604f-4271-b322-2bc32287f655;1908a2f2-4694-4abc-bff0-7b09aa51f256;BNP TAX;CUSTOM;100.00;3;2026-03-24 09:32:22.314697+00
c16de385-ee0e-4bf8-976f-7ef36253ef5f;2126b467-6cfb-47c5-8889-ff291381786e;BASE;MANDATORY;450.00;0;2026-03-24 10:12:45.183876+00
07cf95b5-b1aa-449a-9df6-cf19a83eca0b;2126b467-6cfb-47c5-8889-ff291381786e;VAT;MANDATORY;50.00;1;2026-03-24 10:12:45.183876+00
